{'id_ship': 'S000', 'width_ship': 72, 'height_ship': 68, 'length_ship': 77}
{'id_ship': 'S090', 'width_ship': 88, 'height_ship': 91, 'length_ship': 93}
{'id_ship': 'S091', 'width_ship': 92, 'height_ship': 72, 'length_ship': 61}
{'id_ship': 'S092', 'width_ship': 88, 'height_ship': 83, 'length_ship': 56}
{'id_ship': 'S093', 'width_ship': 84, 'height_ship': 61, 'length_ship': 51}
{'id_ship': 'S094', 'width_ship': 75, 'height_ship': 98, 'length_ship': 53}
{'id_ship': 'S095', 'width_ship': 79, 'height_ship': 54, 'length_ship': 93}
{'id_ship': 'S096', 'width_ship': 85, 'height_ship': 98, 'length_ship': 55}
{'id_ship': 'S097', 'width_ship': 64, 'height_ship': 64, 'length_ship': 93}
{'id_ship': 'S098', 'width_ship': 74, 'height_ship': 64, 'length_ship': 95}
{'id_ship': 'S099', 'width_ship': 75, 'height_ship': 70, 'length_ship': 86}
{'id_ship': 'S100', 'width_ship': 97, 'height_ship': 52, 'length_ship': 59}
{'id_ship': 'S101', 'width_ship': 92, 'height_ship': 57, 'length_ship': 74}
{'id_ship': 'S102', 'width_ship': 59, 'height_ship': 66, 'length_ship': 75}
{'id_ship': 'S103', 'width_ship': 80, 'height_ship': 99, 'length_ship': 62}
{'id_ship': 'S104', 'width_ship': 68, 'height_ship': 95, 'length_ship': 62}
{'id_ship': 'S105', 'width_ship': 95, 'height_ship': 65, 'length_ship': 69}
{'id_ship': 'S106', 'width_ship': 78, 'height_ship': 92, 'length_ship': 68}
{'id_ship': 'S107', 'width_ship': 86, 'height_ship': 53, 'length_ship': 85}
{'id_ship': 'S108', 'width_ship': 92, 'height_ship': 76, 'length_ship': 63}
{'id_ship': 'S109', 'width_ship': 97, 'height_ship': 61, 'length_ship': 60}
{'id_ship': 'S110', 'width_ship': 78, 'height_ship': 62, 'length_ship': 83}
{'id_ship': 'S111', 'width_ship': 55, 'height_ship': 51, 'length_ship': 53}
{'id_ship': 'S112', 'width_ship': 63, 'height_ship': 78, 'length_ship': 65}
{'id_ship': 'S113', 'width_ship': 84, 'height_ship': 88, 'length_ship': 51}
{'id_ship': 'S114', 'width_ship': 87, 'height_ship': 55, 'length_ship': 93}
{'id_ship': 'S115', 'width_ship': 77, 'height_ship': 61, 'length_ship': 50}
{'id_ship': 'S116', 'width_ship': 79, 'height_ship': 53, 'length_ship': 68}
{'id_ship': 'S117', 'width_ship': 61, 'height_ship': 72, 'length_ship': 63}
{'id_ship': 'S118', 'width_ship': 52, 'height_ship': 100, 'length_ship': 92}
{'id_ship': 'S119', 'width_ship': 70, 'height_ship': 91, 'length_ship': 51}
{'id_ship': 'S120', 'width_ship': 62, 'height_ship': 69, 'length_ship': 80}
{'id_ship': 'S121', 'width_ship': 55, 'height_ship': 98, 'length_ship': 83}
{'id_ship': 'S122', 'width_ship': 68, 'height_ship': 79, 'length_ship': 65}
{'id_ship': 'S123', 'width_ship': 82, 'height_ship': 73, 'length_ship': 83}
{'id_ship': 'S124', 'width_ship': 84, 'height_ship': 90, 'length_ship': 70}
{'id_ship': 'S125', 'width_ship': 95, 'height_ship': 92, 'length_ship': 73}
{'id_ship': 'S126', 'width_ship': 63, 'height_ship': 98, 'length_ship': 56}
{'id_ship': 'S127', 'width_ship': 70, 'height_ship': 80, 'length_ship': 67}
{'id_ship': 'S128', 'width_ship': 65, 'height_ship': 68, 'length_ship': 63}
{'id_ship': 'S129', 'width_ship': 83, 'height_ship': 74, 'length_ship': 86}
{'id_ship': 'S130', 'width_ship': 58, 'height_ship': 61, 'length_ship': 67}
{'id_ship': 'S131', 'width_ship': 78, 'height_ship': 69, 'length_ship': 91}
{'id_ship': 'S132', 'width_ship': 92, 'height_ship': 93, 'length_ship': 87}
{'id_ship': 'S133', 'width_ship': 79, 'height_ship': 74, 'length_ship': 98}
{'id_ship': 'S134', 'width_ship': 89, 'height_ship': 85, 'length_ship': 87}
{'id_ship': 'S135', 'width_ship': 82, 'height_ship': 90, 'length_ship': 63}
{'id_ship': 'S136', 'width_ship': 53, 'height_ship': 94, 'length_ship': 67}
{'id_ship': 'S137', 'width_ship': 93, 'height_ship': 90, 'length_ship': 96}
{'id_ship': 'S138', 'width_ship': 94, 'height_ship': 54, 'length_ship': 53}
{'id_ship': 'S139', 'width_ship': 82, 'height_ship': 82, 'length_ship': 100}
{'id_ship': 'S140', 'width_ship': 81, 'height_ship': 89, 'length_ship': 73}
{'id_ship': 'S141', 'width_ship': 90, 'height_ship': 98, 'length_ship': 94}
{'id_ship': 'S142', 'width_ship': 64, 'height_ship': 83, 'length_ship': 96}
{'id_ship': 'S143', 'width_ship': 95, 'height_ship': 74, 'length_ship': 63}
{'id_ship': 'S144', 'width_ship': 82, 'height_ship': 51, 'length_ship': 87}
{'id_ship': 'S145', 'width_ship': 89, 'height_ship': 97, 'length_ship': 85}
{'id_ship': 'S146', 'width_ship': 57, 'height_ship': 60, 'length_ship': 96}
{'id_ship': 'S147', 'width_ship': 90, 'height_ship': 51, 'length_ship': 51}
{'id_ship': 'S148', 'width_ship': 95, 'height_ship': 73, 'length_ship': 52}
{'id_ship': 'S149', 'width_ship': 93, 'height_ship': 57, 'length_ship': 65}
{'id_ship': 'S150', 'width_ship': 83, 'height_ship': 81, 'length_ship': 78}
{'id_ship': 'S151', 'width_ship': 64, 'height_ship': 75, 'length_ship': 59}
{'id_ship': 'S152', 'width_ship': 97, 'height_ship': 54, 'length_ship': 76}
{'id_ship': 'S153', 'width_ship': 95, 'height_ship': 53, 'length_ship': 80}
{'id_ship': 'S154', 'width_ship': 51, 'height_ship': 66, 'length_ship': 58}
{'id_ship': 'S155', 'width_ship': 52, 'height_ship': 63, 'length_ship': 95}
{'id_ship': 'S156', 'width_ship': 52, 'height_ship': 89, 'length_ship': 68}
{'id_ship': 'S157', 'width_ship': 93, 'height_ship': 88, 'length_ship': 79}
{'id_ship': 'S158', 'width_ship': 74, 'height_ship': 72, 'length_ship': 79}
{'id_ship': 'S159', 'width_ship': 53, 'height_ship': 71, 'length_ship': 66}
{'id_ship': 'S160', 'width_ship': 66, 'height_ship': 82, 'length_ship': 87}
{'id_ship': 'S161', 'width_ship': 86, 'height_ship': 74, 'length_ship': 54}
{'id_ship': 'S162', 'width_ship': 66, 'height_ship': 77, 'length_ship': 76}
{'id_ship': 'S163', 'width_ship': 75, 'height_ship': 95, 'length_ship': 75}
{'id_ship': 'S164', 'width_ship': 72, 'height_ship': 58, 'length_ship': 50}
{'id_ship': 'S165', 'width_ship': 60, 'height_ship': 89, 'length_ship': 89}
{'id_ship': 'S166', 'width_ship': 80, 'height_ship': 81, 'length_ship': 92}
{'id_ship': 'S167', 'width_ship': 72, 'height_ship': 68, 'length_ship': 69}
{'id_ship': 'S168', 'width_ship': 72, 'height_ship': 58, 'length_ship': 52}
{'id_ship': 'S169', 'width_ship': 70, 'height_ship': 66, 'length_ship': 50}
{'id_ship': 'S170', 'width_ship': 61, 'height_ship': 65, 'length_ship': 79}
{'id_ship': 'S171', 'width_ship': 68, 'height_ship': 61, 'length_ship': 53}
{'id_ship': 'S172', 'width_ship': 79, 'height_ship': 59, 'length_ship': 74}
{'id_ship': 'S173', 'width_ship': 87, 'height_ship': 99, 'length_ship': 100}
{'id_ship': 'S174', 'width_ship': 62, 'height_ship': 73, 'length_ship': 81}
{'id_ship': 'S175', 'width_ship': 78, 'height_ship': 65, 'length_ship': 82}
{'id_ship': 'S176', 'width_ship': 67, 'height_ship': 52, 'length_ship': 56}
{'id_ship': 'S177', 'width_ship': 65, 'height_ship': 98, 'length_ship': 77}
{'id_ship': 'S178', 'width_ship': 52, 'height_ship': 62, 'length_ship': 51}
{'id_ship': 'S179', 'width_ship': 59, 'height_ship': 87, 'length_ship': 73}
{'id_ship': 'S180', 'width_ship': 67, 'height_ship': 72, 'length_ship': 76}
{'id_ship': 'S181', 'width_ship': 78, 'height_ship': 75, 'length_ship': 58}
{'id_ship': 'S182', 'width_ship': 84, 'height_ship': 82, 'length_ship': 71}
{'id_ship': 'S183', 'width_ship': 67, 'height_ship': 51, 'length_ship': 87}
{'id_ship': 'S184', 'width_ship': 75, 'height_ship': 95, 'length_ship': 95}
{'id_ship': 'S185', 'width_ship': 73, 'height_ship': 70, 'length_ship': 85}
{'id_ship': 'S186', 'width_ship': 82, 'height_ship': 69, 'length_ship': 76}
{'id_ship': 'S187', 'width_ship': 55, 'height_ship': 96, 'length_ship': 53}
{'id_ship': 'S188', 'width_ship': 97, 'height_ship': 100, 'length_ship': 87}
{'id_ship': 'S189', 'width_ship': 51, 'height_ship': 76, 'length_ship': 58}
{'id_ship': 'S190', 'width_ship': 60, 'height_ship': 86, 'length_ship': 93}
{'id_ship': 'S191', 'width_ship': 77, 'height_ship': 66, 'length_ship': 95}
{'id_ship': 'S192', 'width_ship': 69, 'height_ship': 51, 'length_ship': 66}
{'id_ship': 'S193', 'width_ship': 90, 'height_ship': 74, 'length_ship': 94}
{'id_ship': 'S194', 'width_ship': 59, 'height_ship': 55, 'length_ship': 64}
{'id_ship': 'S195', 'width_ship': 59, 'height_ship': 66, 'length_ship': 87}
{'id_ship': 'S196', 'width_ship': 96, 'height_ship': 58, 'length_ship': 68}
{'id_ship': 'S197', 'width_ship': 82, 'height_ship': 91, 'length_ship': 96}
{'id_ship': 'S198', 'width_ship': 82, 'height_ship': 74, 'length_ship': 92}
{'id_ship': 'S199', 'width_ship': 98, 'height_ship': 58, 'length_ship': 64}
